As of*,Old details,,New details,
29-Dec, NSA, Norwood Systems Ltd, ERJ, Enerji Ltd
28-Dec, AEQ, Allco Equity Partners Limited, AEP, Allco Equity Partners Limited
28-Dec,PSX , Psiron Limited, VLA, Viralytics Limited
27-Dec, APA, Australian Pipeline Trust, APA,APA Group
22-Dec, DMP, Domino's Pizza Australia New Zealand Limited, DMP,Domino's Pizza Enterprises Limited
22-Dec, AMG, Alcaston Mining NL, GMR,Golden Rim Resources Ltd
21-Dec, SCV, Sunnycove Management Limited, SCV ,SCV Group Limited
20-Dec, AVV, AAV Limited, STG ,Staging Connections Group Limited
20-Dec, DCS, DCS Technologies Limited, ONC,Oncard International Limited
20-Dec, ESI, Environmental Solutions International Limited, ESI,Environmental Clean Technologies Limited
15-Dec, DML, Discovery Metal Limited, DML, Discovery Metals Limited
15-Dec, WWM, Wentworth Mutual Limited, WWM, Wentworth Holdings Limited
15-Dec, WCP, WCP Diversified Investments Limited, WCP, WCP Resources Limited
12-Dec, CMW, Cromwell Corporation Limited, CMW, Cromwell Group
8-Dec, CGX, Central Asia Gold Limited, CGX, CGA Mining Limited
8-Dec, DNL,Discovery Nickel Limited , DML, Discovery Metal Limited
7-Dec, ASX, Australian Stock Exchange Limited, ASX, ASX Limited
6-Dec, MVL, Microview Limited, APK,Australian Power and Gas Company Limited
6-Dec, WYT, Wytomic Limited, SSC,Sultan Corporation Limited
4-Dec, ZCO, Zelos Resources NL, GUJ, Gujarat NRE Resources NL
1-Dec, MRL, Miller's Retail Limited, SFH,Specialty Fashion Group Limited
1-Dec, SMO, SMC Gold Limited, TMR, Tamaya Resources Limited
1-Dec, WPG, Western Plains Gold Limited, WPG, Western Plains Resources Limited
29-Nov, CML, Coles Myer Ltd, CGJ,Coles Group Limited
28-Nov, TTV, Two Way TV Australia Limited, TTV,Two Way Limited
28-Nov, UKD, United Kimberley Diamonds NL, UMC,United Minerals Corporation NL
27-Nov, SAH, Salus Technologies Ltd, KSX,Karmelsonix Ltd
24-Nov, LCP,Loftus Capital Partners Limited , CIW ,Clime Investment Management Ltd
24-Nov, PGN, Pengana Hedgefunds Group, MFG,Magellan Financial Group
23-Nov, HZG, Horizon Global Limited, IUL,Imagine UN Limited
22-Nov, AFS, Affiance Group Limited, FFF,Firstfolio Limited
22-Nov, AUH, Australian Healthcare Technology Ltd,MDG ,Medtech Global Limited
21-Nov, PQB, Piquant Blue LImited, RLA,Redisland Australia Limited
14-Nov,MWM , Mariner Wealth Management Limited,MBR ,Mariner Bridge Investments Limited
13-Nov,BEC, Becton Property Group Limited,BEC,Becton Property Group
9-Nov,TRU , Trust Company of Australia Limited,TRU ,Trust Company Limited
9-Nov,COO , Cosmos Limited,COO ,Corum Group Limited
7-Nov,VPH , VPH Limited,LIN,Lindian Resources Limited
7-Nov,OCR ,Oriental Crystal (International) Limited ,XST ,Xstate Resources Limited
3-Nov,BCA ,Baycorp Advantage Limited ,VEA ,Veda Advantage Limited
