As of*,Old details,,New details,
31/12/2002,ESH,E-Shares Corporation Limited,GBA,Grandbridge Limited
27/12/2002,PAH,Pahth Telecommunications Limited,BRO,Broadtel Communications
27/12/2002,WTL,WTL Limited,TIL,Technology Incubation Group Limited
24/12/2002,WWT,Worldwide Technology Group Limited,RCH,Richfield Group Limited
23/12/2002,CED,Cendant Australasia Limited,CED,CED Australasia Limited
23/12/2002,THL,Tradehouse International Limited,NCH,NCML (Holdings) Limited
19/12/2002,PHR,P & H Rural Limited,LAU,Lindsay Australia Limited
19/12/2002,TEH,Techniche Limited,PSL,Panaseer Limited
18/12/2002,ORL,Oroton International Limited,ORL,OrotonGroup Limited
16/12/2002,SOX,Scanbox Asia Pacific Limited,MPC,Motion Picture Company of Australia Limited
16/12/2002,WER,Werrie Gold Limited,MWC,Media World Communications Limited
13/12/2002,MSG,Mutlispares Holdings Limited,SNL,Supply Network Limited
13/12/2002,TLE,Tele2000 Limited,ETC,Entertainment Media & Telecoms Corporation Limited
12/12/2002,TML,Timemac Solutions Limited,MUS,Mustang Group Limited
11/12/2002,FOC,Focus Technologies Limited,AOO,Apollo Gold Mining Limited
6/12/2002,BAH,Bains Harding Limited,KAE,Kaefer Technologies Limited
5/12/2002,ISA,Internet Solutions Australia Limited,NAI,Natural Intelligence Limited
5/12/2002,MCT,Menzies Court Holdings Limited,PBD,Port Bouvard Limited
4/12/2002,TQL,TAB Queensland Limited,UTB,UNiTAB Limited
4/12/2002,WMC,WMC Limited,AWC,Alumina Limited
4/12/2002,YDR,Yardarino Limited,FCN ,Falcon Minerals Limited
3/12/2002,SHM,Sapphire Mines Limited,CGX,Central Asia Gold Limited
3/12/2002,LCH,Lifecare Health Limited,IPN,Independent Practitioner Network Ltd
3/12/2002,APC,Automotive Parts Group Limited,REP,Repco Limited
29/11/2002,SGP,Stockland Trust Group,SGP,Stockland
28/11/2002,IMF,Insolvency Management Fund Limited,IMF,IMF (Australia) Ltd
27/11/2002,CTI,Chariot Internet Limited,CTI,Chariot Limited
26/11/2002,CLT,Cellnet Telecommunications Group Limited,CLT,Cellnet Group Limited
20/11/2002,HGV,H-G Ventures Limited,CFI,Colonial First State Private Capital Limited
19/11/2002,BCH,Barton Capital Holdings Limited,RMC,RIMCapital Limited
18/11/2002,OLA,Online Advantage Limited,CVL,Clearview Capital Limited
13/11/2002,HCL,Helm Corporation Limited,DNX,DenX Limited
13/11/2002,DVT,DVT Holdings Limited,UXC,UXC Limited
13/11/2002,PHT,Peppers Hotel Trust,AHO,Australian Hotel Fund
12/11/2002,ECL,Ecat Development Capital Limited,CCE,Clinical Cell Culture Limited
12/11/2002,DAY,DaytraderHQ Limited,HCY,Halcyon Group Ltd
8/11/2002,AXL,Aucxis Limited,AXL,Aurex Consolidated Limited
6/11/2002,BLO,Bligh Oil & Minerals NL,HZN,Horizon Oil NL
4/11/2002,GAN,Gandel Retail Trust,GAN,CFS Gandel Retail Trust
31/10/2002,KCN,Kingsgate Consolidated NL,KCN,Kingsgate Consolidated Limited
31/10/2002,AIS,Automotive Industrial & Mining Supplies Limited,AIS,AIS Corporation Limited
31/10/2002,MBH,Musgrave Block Holdings Limited,UNI,Unitract Limited
30/10/2002,ISC,Isis Communications Limited,AVV,AAV Limited
29/10/2002,ATY,Australian Technology Securities Limited,NHE,New Horizon Energy Ltd
23/10/2002,ACV,Aussiecover Limited,DBS,Dark Blue Sea Limited
18/10/2002,IWF,Integrated Workforce Limited,IWF,Integrated Group Limited
17/10/2002,QED,QED Corporation Limited,QED,QED Occtech Limited
17/10/2002,BTO,BT Office Trust,POF,Principal Office Fund
11/10/2002,AXSMGE,Access MFS Global Equity Fund,AXSMGE,WHTM Access Global Equity Fund
11/10/2002,AXSBMD,Access BNP Paribas Managed Fund,AXSBMD,WHTM Access Managed Fund
11/10/2002,AXSBSC,Access BNP Paribas Smaller Companies Fund,AXSBSC,WHTM  Access Smaller Companies Fund
11/10/2002,AXSBAE,Access BNP Paribas Australian Equity Fund,AXSBAE,WHTM Access Australian Equity Fund
11/10/2002,AXS,Access Funds - BNP Paribas Asset Management (Australia) Limited,AXS,Access Funds - WHTM Capital Management Ltd
11/10/2002,JRV,Jervois Mining NL,JRV,Jervois Mining Limited
10/10/2002,CHH,Cottee Health Limited,FIL,Fashion Intimates Limited
7/10/2002,GRN,Grenfell Resources Limited,GRN,Gravity Capital Limited
2/10/2002,ISY,IPT Systems Limited,SYG,Synergy Equities Group Limited
1/10/2002,AOV,Australian Overseas Resources Limited,BQT,Banque-Tec Limited
26/09/2002,PAL,Pima Mining NL,MIL,Magnesium International Limited
24/09/2002,POT,Pos.it.ive Technologies Limited,MSO,Mobilesoft Limited
20/09/2002,CPE,Cape Tel Limited,STL,Syntech Group Limited
19/09/2002,MMN,Macmin Limited,MMN,Macmin Silver Ltd
17/09/2002,RBT,Rambora Technologies Limited,LMG,Latrobe Magnesium Limited
17/09/2002,MDR,Midwest Radio Limited,MEA,Media Corporation Australia Limited
13/09/2002,GNR,Greenstone Resources NL,RED,Red 5 Limited
3/09/2002,OFT,Oceanfast Limited,OFT,OFT Limited
3/09/2002,ECO,e.COM Global Limited,PCI,Pacific International Limited
29/08/2002,STU,Stuart Petroleum NL,STU,Stuart Petroleum Limited
29/08/2002,SRO,Sirocco Resources NL,RSN,Renison Consolidated Mines NL
27/08/2002,VOS,Vostech Limited,IMU,Imugene Limited
26/08/2002,SEX,Sharon Austen Limited,GBN,Gallery Global Networks Limited
16/08/2002,AUR,Australon Limited,INT,Intermoco Limited
15/08/2002,GGR,General Gold Resources Limited,YGL,Yilgarn Gold Limited
14/08/2002,IVN,Ivanhoe Mines Limited,IVN,Ivanhoe Mines Ltd.
13/08/2002,TLO,Telco Australia Limited,FUT,Future Corporation Australia Limited 
12/08/2002,SCN,Star Mining Corporation NL,ARE,Argonaut Resources N.L
2/08/2002,PXI,Prospex Interactive Limited,FSA,FSA Group Limited
29/07/2002,IBI,InfoBank International Limited,AEI,Aeris Technologies Ltd
25/07/2002,JFC,Jardine Fleming China Region Limited,CRX,China Region Investments Limited
25/07/2002,AZE,Aztec Capital Limited,WWM,Wentworth Mutual Limited
23/07/2002,GGR,General Gold Resources NL,GGR,General Gold Resources Limited 
23/07/2002,FXO,Futurexone Ltd,MWE,Mawson West Ltd
18/07/2002,ATE,Australasian Gold Mines NL,TAA,Tantalum Australia NL
11/07/2002,MMD,Micromedical Industries Limited,VCR,Ventracor Limited
10/07/2002,MGW,Brian McGuigan Wines Limited,MGW,McGuigan Simeon Wines Limited
9/07/2002,ADR,Admiralty Resources NL,EIR,Equity 1 Resources NL
8/07/2002,WTH,Wellworth China Investments Limited,QTM,Quantum Energy Limited
8/07/2002,PUL,Pulsat Communications Limited,PHL,Pearl Healthcare Limited
4/07/2002,SCE,Sun Consolidated Enterprises Limited,SCE,SunTech Environmental Group
1/07/2002,SPC,SPC Limited,SPC,SPC Ardmona Limited
26/06/2002,PAR,Paramount Australia Limited,CLE,Clearwater Group Limited
24/06/2002,CBW,Cabonne Limited,RYW,Reynolds Wines Limited
14/06/2002,APX,Apollo Group Limited,GBP,Global Petroleum Limited
13/06/2002,ASN,Australian Sandstone Industries Limited,CDH,Chongherr Investments Ltd
13/06/2002,IMM,International Media Management (Holdings) Limited,WAG,WorldAudio Limited
11/06/2002,CIM,CIM Resources Limited,GCL,Gloucester Coal Limited
4/06/2002,MXE,MXL Limited,MXL,MXL Limited
31/05/2002,SUA,Suan Australia Limited,DSG,DSG Australia Limited
28/05/2002,ESE,Esmeralda Exploration Limited,EUG,Eurogold Limited
24/05/2002,GRU,Games 'R' Us Australia Limited,OPL,Orchard Petroleum Limited
24/05/2002,NYY,Normandy Yandal Operations Limited,NYY,Newmont Yandal Operations Limited
23/05/2002,CTL,CI Technologies Group Limited,CTL,Citect Corporation Limited
23/05/2002,GLP,Gold Partners Limited,ORO,Oroya Mining Limited
20/05/2002,CWL,Commonwealth Securities & Mortgage Trust No.1,MFS,MFS Leveraged Investments and Securities Trust
16/05/2002,HWL,Hotham Wines Limited,AWL,Australian Wine Holdings Limited
14/05/2002,PEG,Peg Technology Limited,PAC,Pacsoft Limited
13/05/2002,RIL,Renewable Investments Limited,NIA,Niagara Mining Limited
10/05/2002,MYC,My Casino Limited,EUR,Eurast Ltd
9/05/2002,AOR,Aurion Gold Limited,AOR,AurionGold Limited
30/04/2002,PDP,Pacific Dunlop Limited,ANN,Ansell Limited
30/04/2002,QOP,Queensland Opals NL,BLT,Benitec Limited
29/04/2002,HPL,HP JDV Limited,HPL,Hartleys Limited
23/04/2002,HRK,Heartlink Limited,JET,Jetset Travelworld Ltd
23/04/2002,WET,Wet Dreams Limited,BKM,Blink Models Limited
17/04/2002,LPD,Loftus Pooled Development Limited,LCP,Loftus Capital Partners Limited
16/04/2002,GPI,Growth Property Investments Limited,EOS,Electro Optic Systems Holdings Limited
8/04/2002,SWC,Smartworld Corporation Limited,VRE,View Resources Ltd
5/04/2002,KAZ,Kaz Computer Services Limited,KAZ,Kaz Group Limited
27/03/2002,ICM,Iocom Limited,OPI,Optima ICM Limited
25/03/2002,AOL,Aussie Online Limited,APZ,Aspen Group Limited
22/03/2002,BFB,B4BSport Group Limited,TSG,Total Sport & Entertainment Group Limited
5/03/2002,ONI,Omni Group Limited,ECS,ECSI Limited
1/03/2002,FEC,Fleet Capital Limited,SNO,Snowball Group Limited
1/03/2002,GFA,Grow Force Australia Limited,RHL,Ruralco Holdings Limited
1/03/2002,TRE,Triton Corporation Limited,AVN,Avon Resources Ltd
28/02/2002,DVT,Davnet Limited,DVT,DVT Holdings Limited
27/02/2002,MYM,My Money Group Limited,PMX,Palamedia Limited
26/02/2002,SGN,Singleton Group Limited,SGN,STW Communications Group Limited
21/02/2002,WTL,Whittle Technology Limited,WTL,WTL Limited
19/02/2002,GLD,Goldfields Limited,AOR,Aurion Gold Limited
19/02/2002,MGD,Mt Grace Resources NL,MGD,Mt Grace Resources Limited
8/02/2002,HFY,Hill 50 Gold NL,HFY,Hill 50 Limited
8/02/2002,LAC,Lang Corporation Limited,PRK,Patrick Corporation Limited
7/02/2002,STT,Strata Mining Corporation NL,STT,Strata Mining Corporation Limited
7/02/2002,VWL,Vincorp Wineries Limited,EIL,Environmental Infrastructure Limited
4/02/2002,SHM,Sapphire Mines NL,SHM,Sapphire Mines Limited
1/02/2002,ALI,Adelaide Share Investments Limited,CKR,Cockatoo Ridge Wines Limited
1/02/2002,AUL,Australian United Gold NL,AUL,Australian United Gold Limited
1/02/2002,GED,Golden Deeps NL,GED,Golden Deeps Limited
1/02/2002,SBD,Surfboard Limited,GRR,Grange Resources Limited
1/02/2002,TGS,Tiger Resources NL,TGS,Tiger Resources Limited
30/01/2002,HNG,Hancock & Gore Limited,HNG,HGL Limited
29/01/2002,AMU,Amadeus Petroleum NL,AMU,Amadeus Energy Limited
24/01/2002,NGH,Nugold Hill Mines Limited,ATC,Advantage Telecommunications Limited
23/01/2002,MAY,Mayne Nickless Limited,MAY,Mayne Group Limited
21/01/2002,ITC,Impress Technologies Limited,ITC,Impress Ventures Limited
18/01/2002,NRM,NRMA Insurance Group Limited,IAG,Insurance Australia Group Limited
18/01/2002,PPR,Penfold Printing Limited,PPR,Penfold Buscombe Limited
15/01/2002,QAD,Quadrant Australia Limited,QAD,Quadrant Iridium Limited
15/01/2002,WME,West Australian Metals NL,WME,West Australian Metals Ltd
11/01/2002,EEC,Energy Equity Corporation Limited,EWC,Energy World Corporation Ltd
10/01/2002,FKP,Forrester Kurts Properties Limited,FKP,FKP Limited
7/01/2002,BRY,Brierley Investments Limited,BRY,BIL International Limited
7/01/2002,MNG,Minotaur Gold Limited,RPT,Redport Limited
3/01/2002,WHK,Whittakers Limited,MGX,Mount Gibson Iron Limited
