As of*,Old details,,New detail,,
30/12/2004,TBL ,3D Global Limited ,GXG ,Green X Global Limited,
30/12/2004,DRD ,Durban Roodepoort Deep Limited ,DRD,DRDGOLD Limited,
30/12/2004,GDP ,Gradipore Limited ,LFE ,Life Therapeutics Limited ,
24/12/2004,EGI ,EGlobal International Limited ,SXC ,Securix Corporation Limited ,
24/12/2004,DSG ,DSG Australia Ltd ,JVG ,JV Global Limited ,
23/12/2004,KET ,Key 2 Limited ,PAD ,Plantard Ltd ,
23/12/2004,MBX ,MBox.Com Limited ,VPH ,Virtualplus Holdings Limited ,
22/12/2004,GRD , GRD NL,GRD ,GRD Limited ,
21/12/2004,MAQ ,Macquarie Corporate Telecommunications Holdings Limited ,MAQ ,Macquarie Telecom Group Limited ,
21/12/2004,ACF ,Acumen Capital Property Securities Fund ,MPF ,Multiplex Acumen Property Fund ,
17/12/2004,SES ,Solar Energy Systems Ltd ,SOO ,Solco Ltd ,
17/12/2004,MXA ,Maxe-Tec Australia Ltd ,LVL ,LV Living Limited ,
17/12/2004,GVM ,Golden Valley Mines Limited ,GVM ,GVM Metals Limited ,
17/12/2004,FCO ,Farsands Corporation Limited ,FCO ,Farsands Solutions Limited ,
15/12/2004,QVL ,Q-vis Limited ,SAH ,Salus Technologies Ltd ,
15/12/2004,LEL ,Lion Equities Limited ,JGL ,Jackgreen Limited ,
15/12/2004,EBG ,Eumundi Brewing Group Limited ,EBG ,Eumundi Group Limited ,
14/12/2004,HLL ,Hillcrest Resources Limited ,HLL ,Hillcrest Litigation Services Limited ,
13/12/2004,UNI ,Unitract Limited ,UNI ,Unilife Medical Solutions Limited ,
9/12/2004,ORT ,Organic Resource Technology Limited ,ORT ,ORT Limited ,
8/12/2004,EWL ,Entertainment World Limited ,CXE ,Celtex Limited ,
7/12/2004,MIW ,Midware Limited ,AFS ,Affiance Group Limited ,
7/12/2004,STN ,Southern Titanium NL ,AZC ,Australian Zircon NL ,
7/12/2004,ICO ,Indcor Limited ,AAE ,Australian Ethanol Limited ,
6/12/2004,RLD ,Relode Limited ,IGR ,Integra Mining Limited ,
6/12/2004,TIL ,Tiger International Limited ,MPA ,Marine Produce Australia Limited ,
2/12/2004,AFM ,Afminex Limited ,CIG ,Caspian Oil & Gas Limited ,
2/12/2004,NWS ,"News Corporation, Inc ",NWS ,News Corporation ,
2/12/2004,DKN ,Deakin Financial Services Group Limited ,DKN ,DKN Financial Group Limited ,
30/11/2004,RPH ,Ronin Property Group ,ONX ,Onyx Property Group ,
29/11/2004,AYO ,Amity Oil Limited ,AZZ ,Antares Energy Limited ,
29/11/2004,PPR ,Penfold Buscombe Limited ,PPR ,Promentum Limited ,
26/11/2004,WOR ,Worley Group Limited ,WOR ,WorleyParsons Limited ,
26/11/2004,EHO ,Echo Technologies Limited ,PAA ,Pharmaust Limited ,
25/11/2004,AEY ,Australian Energy Income Fund ,AEY ,Australian Onshore Energy Fund ,
24/11/2004,HEI ,Heat Exchangers International Limited ,LAB ,Labtam Limited ,
19/11/2004,ATL ,Auto Enterprises Limited ,BRT ,Brainytoys Limited ,
12/11/2004,SKE ,Skilled Engineering Limited ,SKE ,Skilled Group Limited,
2/11/2004,FTR ,FTR Holdings Limited ,WCG ,Webcentral Group Limited,
1/11/2004,OEC ,Orbital Engine Corporation Limited ,OEC ,Orbital Corporation Limited ,
29/10/2004,ARO ,Astro Mining N.L.,ARO ,Astro Diamond Mines N.L. ,
28/10/2004,NPS ,Newhaven Park Stud Limited ,NHH ,Newhaven Hotels Limited ,
21/10/2004,ASK ,Amskan Limited ,SXO ,Saxon Investment Group Limited ,
15/10/2004,GRN ,Gravity Capital Limited ,GRN ,Gravity Diamonds Limited ,
14/10/2004,QTI ,Queensland Tourism Industries Limited ,QTI ,Queensland Trustees and Investment Limited ,
14/10/2004,PRX ,Prime Retail Group ,CNP ,Centro Properties Group ,
14/10/2004,PEP ,Peplin Biotech Limited ,PEP ,Peplin Limited ,
14/10/2004,IPS ,IncomePlus Limited ,GLI ,GoldLink IncomePlus Limited ,
5/10/2004,AVN ,Avon Resources Ltd ,CUO ,CopperCo Limited ,
20/09/2004,AVT ,AVT Holdings Limited ,AVT ,AVT Bioplasma Limited ,
7/09/2004,RGL ,Revesco Group Limited ,COZ,CO2 Group Limited ,
2/09/2004,PIL ,Pilbara Mines Limited ,JML ,Jabiru Metals Limited ,
31/08/2004,BDG ,Bendigo Mining NL ,BDG ,Bendigo Mining Limited ,
31/08/2004,JWM ,Johnson's Well Mining NL ,RRL ,Regis Resources NL ,
31/08/2004,GKR ,Gutnick Resources NL ,GNL ,Great Gold Mines NL ,
27/08/2004,UCL ,Union Capital Limited ,UCL ,Union Resources Limited ,
27/08/2004,WAV ,Wave Capital Limited ,RIV ,Riversdale Mining Limited ,
20/08/2004,REV ,Revenir Limited ,BNE ,Bone Medical Limited ,
12/08/2004,PCI ,Pacific International Limited ,BLE ,Blue Ensign Technologies Limited,
9/08/2004,SOT ,SP Telecommunications Limited ,SOT,SP Telemedia Limited,
6/08/2004,DCL ,Data & Commerce Limited ,PNW ,Pacific Star Network Limited ,
6/08/2004,PLX ,Plexus International Limited ,CTF ,Citrofresh International Limited ,
5/08/2004,AZL ,Anzoil NL ,NEO ,Nuenco NL ,
5/08/2004,ETT ,Electronic Transaction Technology Limited ,ETT,ETT Limited,
30/07/2004,NAI ,Natural Intelligence Limited ,CMO ,Commoditel Limited ,
28/07/2004,WSG ,Westel Group Limited ,ICC ,IC2 Global Limited ,
26/07/2004,MHL ,Metabolism Health Limited ,MHL ,M Health Limited ,
20/07/2004,MCA ,Medica Holdings Limited ,CYT ,Cytopia Limited ,
12/07/2004,ADM ,Auridiam Limited,AVP ,Acuron Limited ,
8/07/2004,JBK ,Jumbuck Corporation Limited ,QXQ ,Q Limited ,
6/07/2004,HLM ,Hallmark Consolidated Limited ,TNG ,Tennant Creek Gold Limited ,
5/07/2004,SWT ,Swiftel Limited ,PEO,People Telecom Limited ,
2/07/2004,BWI ,The Beston Wine Industry Trust ,CWT ,Challenger Beston Wine Trust ,
1/07/2004,ZEL ,Zeolite Australia Limited,EVZ ,Envirozel Limited,
29/06/2004,AGT ,AGT Biosciences Ltd ,CXS ,ChemGenex Pharmaceuticals Ltd ,
23/06/2004,DPL ,The Daily Planet Limited ,PPN,Planet Platinum Limited ,
22/06/2004,HBR,Harbour Capital Limited ,MTX,Metals Exploration Limited,
22/06/2004, MPY,MFS Hotel Property Trust ,MPY ,MFS Living and Leisure Group ,
16/06/2004,MFS,MFS Leveraged Investments and Securities Trust,MFS,MFS Leveraged Investment Group,
15/06/2004,AXL,Aurex Consolidated Limited,TEA,Terra Gold Mining Ltd,
11/06/2004,ATC,Advantage Telecommunications Limited,CGI,Consolidated Global Investments limited,
7/06/2004,AOO,Apollo Gold Mining Limited ,CRE,Crescent Gold Limited,
4/06/2004,KCG,Kanowna Consolidated Gold Mines Limited,AND,Andean Resources Limited,
1/06/2004,CSI,Concept Systems International Limited,TWO,Talent2 International Limited,
24/05/2004,HJB,HJ&B Group Limited,HJB,Hamilton James & Bruce Group Limited,
19/05/2004,HGO,Hillgrove Gold Limited,HGO,Hillgrove Resources Limited,
19/05/2004,OBJ,Objectif Telecommunications Limited,OBJ,OBJ Limited,
18/05/2004,SOU,Southpointe Limited,XBL,Xceed Biotechnology Ltd,
17/05/2004,SSB,Salomon Smith Barney Australia Financial Products,SSB,Citigroup Global Markets Australia Financial Products Limited,
12/05/2004,KLS,Kanowna Lights Limited,PEN,Peninsula Minerals Limited,
10/05/2004,WHTMOS,Wilson HTM Overseas Share Fund,GGU,GEC Global Fund,
30/04/2004,AGG,Anglogold Limited,AGG,Anglogold Ashanti Limited,
20/04/2004,RML,Rusina Mining Ltd,RML,Rusina Mining NL,
28/04/2004,BUU,Bambuu Limited,KDS,Kids Campus Limited,
22/04/2004,SVP,Servicepoint Limited,ATZ,Allied Technologies Group Limited,
21/04/2004,SPL,Starpharma Pooled Development Limited,SPL,Starpharma Holdings Limited,
19/04/2004,TNY,Tennyson Networks Limited,FUS,Fusia Limited,
5/04/2004,CTC,CTI Communications,BOS,Biosignal Limited,
2/04/2004,AIS,AIS Corporation Limited,ALW,Alphawest Limited,
31/03/2004,AXH,Adex Holdings Limited,INI,Internickel Limited,
29/03/2004,IMW,Insurance My Way Limited,WAS,Wasabi Energy Limited,
24/03/2004,RNG,Range River Gold NL,RNG,Range River Gold Limited,
23/03/2004,BEL,Bentley Equities Limited,BEL,Bentley International Limited,
23/03/2004,IAS,IASBet Limited,IAS,International All Sports Limited,
19/03/2004,WIF,Wine Investment Fund Limited,AIY ,Authorised Investment Fund Limited,
19/03/2004,DNI,"Digital Now, Inc",LMS,Luminus Systems Limited,
18/03/2004,EIR,Equity 1 Resources NL,ADY,Admiralty Resources NL,
17/03/2004,QTL,Quadtel Limited,WYT,Wytomic Limited,
12/03/2004,PSL,Panaseer Limited,TCN,Technice Limited,
11/03/2004,PNO,Pharmanet Online Limited,PNO,Pharmanet Group Limited,
11/03/2004,TBC,Tribeca Corporation Limited,TBC,Tribeca Learning Limited,
5/03/2004,TAI,Taipan Resources NL,NMC,Nustar Mining Corporation Limited,
1/03/2004,FFS,Fletcher Challenge Forests Limited,TNN,Tenon Limited,
17/02/2004,WON,West Oil NL,STI,Stirling Products Limited,
16/02/2004,SRI,Sipa Resources International NL,SRI,Sipa Resources Limited,
13/02/2004,AMF,Asia Multi-Foods & Oils (Australia) Ltd,RWD,Reward Minerals Ltd,
13/02/2004,WBZ,Weboz Limited,NIC,Nicu Metals Limited,
12/02/2004,CBH,Consolidated Broken Hill Ltd,CBH,CBH Resources Limited,
10/02/2004,VIT,Vital Capital Limited,POH,Phosphagenics Limited,
6/02/2004,HZN,Horizon Oil NL,HZN,Horizon Oil Limited,
4/02/2004,INF,Infosentials Limited,TTI,Traffic Technologies Ltd,
2/02/2004,MPO,Molopo Australia NL,MPO,Molopo Australia Limited,
30/01/2004,ATX,Austminex NL,ATX ,Austminex Limited,
29/01/2004,GAR,Garrisons Accounting Group Ltd,STR,Service Stream Ltd,
27/01/2004,ARQ,ARC Energy NL,ARQ,ARC Energy Limited,
22/01/2004,NAU,Nautilus Australia Limited,MDV,Medivac Limited,
22/01/2004,AQT,Aliquot Asset Management Limited,REV,Revenir Limited,
21/01/2004,EQS,Equs Limited,MTO,Moto Goldmines Ltd,
16/01/2004,FIL,Fashion Intimates Limited,LDR,Lach Drummond Resources Ltd,
16/01/2004,ASO,Australian Silicon Limited,BMO,BMA Gold Limited,
16/01/2004,AHH,Agro Holdings Limited,YML,Yilgarn Mining Limited,
14/01/2004,CED,CED Australasia Limited,TZL,TZ Limited,
