As of*,Old details ,,New details,
30/12/2005, PGN, Pengana Managers Limited, PGN, Pengana Hedgefunds Group
30/12/2005, MCO, Mount Conqueror Minerals N.L.,MCO , Morning Star Gold N.L.
30/12/2005, BIC, Biron Capital Limited, BIC, Biron Apparel Limited
28/12/2005, AMD, Acuity Investment Management Limited, TQH, 3Q Holdings Limited
23/12/2005, CPC, Carpenter Pacific Resources Limited, MAE, Marion Energy Limited
22/12/2005, PTC, Powerise Technology Limited, ANU, Aconcagua Resources Limited
21/12/2005, NIQ, Niquest Limited, FRS, Ferraus Limited
19/12/2005, SUB, Sunbase China Limited, CAC, China Cattle Limited
19/12/2005, PRM, Plenty River Corporation Limited, PRM, Plentex Limited
19/12/2005, HBL, Heggies Bulkhaul Limited, SCC, Scott Corporation Limited
19/12/2005, OPM, Optum Health Limited, ANH, Ansearch Limited
16/12/2005, HUG, Hugall & Hoile Ltd, AWS, Australian Waterwise Solutions Ltd
16/12/2005, BKS, Burdekin Pacific Limited, RBM, Redbank Mines Limited
16/12/2005, DFT, Datafast Telecommunications Limited, EFT, Eftel Limited
13/12/2005, IMH, IMT Holdings Limited, PHK,Phoslock Water Solutions Limited
13/12/2005, CXL, Central Exchange Limited, OEQ, Orion Equities Limited
13/12/2005, AWP, Arrow Pharmaceutical Limited, SIP,Sigma Pharmaceutical Limited
12/12/2005, AFL, Australian Pure Fruits Limited, ONQ, On Q Group Limited
7/12/2005, AML, Amrad Corporation Limited, ZTL, Zenyth Therapeutics Limited
6/12/2005, MHL, M Health Limited, MHL, Monitor Holdings Limited
2/12/2005, GBN, Gallery Global Networks Limited, MBA, MobileActive Limited
2/12/2005, STT, Strata Mining Corporation Limited, EXM, Excalibur Mining Corporation Limited
2/12/2005, REL, Renewable Energy Corporation Limited, SAE, Salinas Energy Limited
1/12/2005, ZCO, Zinico Resources NL, ZCO, Zelos Resources NL
30/11/2005, FUS, Fusia Limited, MBI, Mobi Limited
25/11/2005, AVU, Australian Value Funds Management Limited, AVU, AVFM Ltd
24/11/2005, SKG, SkyNetGlobal Limited, EPY, e-pay Asia Limited
23/11/2005, VPH, Virtualplus Holdings Limited, VPH, VPH Limited
21/11/2005, MAY, Mayne Group Limited, SYB, Symbion Health Limited
15/11/2005, AEZ, APN European Retail Trust,AEZ , APN/UKA European Retail Trust
14/11/2005, IFC, Infracorp Limited, IFC, IFC Capital Limited
10/11/2005, PPB, Pelorus Pipes - Bakehouse Fund, BQF, Bakehouse Quarter Fund
9/11/2005, IGL, International Goldfields Limited, CFE, Cape Lambert Iron Ore Ltd
8/11/2005, SSI, Sino Securities International Limited, SSI, Sino Strategic International Limited
4/11/2005, SAQ, Sydney Aquarium Limited, SAQ,Sydney Attractions Group Limited
4/11/2005, CCH, Club Crocodile Holdings Limited, OCE, Ocean Capital Limited
2/11/2005, GAM, Gaming & Entertainment Group Limited, MLI, Mintails Limited
2/11/2005, GTN, GTN Resources Limited, KIS, King Island Scheelite Limited
2/11/2005, TMS, Television & Media Services Limited, GTV, Global Television Limited
1/11/2005, ANM, Australian Magnesium Corporation Limited, ANM, Advanced Magnesium Limited
28/10/2005, GTM, Giants Reef Mining Limited, CME, Centralian Minerals Limited
27/10/2005, IGP, Investor Group Limited, WHG, WHK Group Limited
13/10/2005, ICW, Investment Company of the West Ltd, PDZ, Prairie Downs Metals Limited
7/10/2005, AFC, Alliance Finance Corporation Limited, CAF, Centrepoint Alliance Limited
7/10/2005, ADK, Australian Development Capital Limited, EVE, Energy Ventures Ltd
5/10/2005, SYP, Style Plantation Limited, SYP, Style Limited
30/09/2005, CGA, Compass Gold Limited, EVG, Envirogold Limited
28/09/2005, PAC, Pacsoft Limited, MMZ, Mooter Media Limited
23/09/2005, ATX, Austminex Ltd, FML, Focus Minerals Ltd
14/09/2005, KLA, Koala Corporation Australia Limited, MNA, Magnetica Limited
30/08/2005, HSC,Hudson Securities Corporation Limited, AQE, Aequs Capital Limited
