Company Name,ASX code,Date Delisted*,Reason
FOLKESTONE SOCIAL INFRASTRUCTURE TRUST,FST,7/01/2015,Following implementation of the trust scheme of arrangement in relation to the merger between the Trust and Folkestone Education Trust.
NEXUS ENERGY LIMITED,NXS,7/01/2015,Following effectuation of the deed of company arrangement entered into between the Company and its creditors and the transfer of all the issued shares in the Company to SGH Energy (No 2) Pty Ltd.
CROWE HORWATH AUSTRALASIA LTD,CRH,8/01/2015,
VANTAGE GOLDFIELDS LIMITED,VGO,19/01/2015,At the request of the Company.
BELLA TRUST SERIES 2011-1,BNI,30/01/2015,Following the redemption of all remaining notes of the Trust.
INDOPHIL RESOURCES NL,IRN,30/01/2015,Following implementation of the trust scheme of arrangement with Alsons Prime Investments Corporation.
ROC OIL COMPANY LIMITED,ROC,30/01/2015,Following compulsory acquisition between the company and Transcendent Resources Limited.
MUTINY GOLD LIMITED,MYG,16/02/2015,Following compulsory acquisition of the Company¿s securities by Doray Minerals Limited.
THE ROYAL BANK OF SCOTLAND N.V.,ABO,18/02/2015,Following redemption of all remaining notes of the company on 17 February 2015.
FIDUCIAN PORTFOLIO SERVICES LIMITED,FPS,25/02/2015,Following the admission of Fiducian Group Limited.
PUMA MASTERFUND P-11,PUP,25/02/2015,Following redemption of all remaining notes on the Trust on 17 February 2015.
OUTBACK METALS LIMITED,OUM,26/02/2015,Following compulsory acquisition by South Cove Limited.
ATLANTIC GOLD CORPORATION,AGB,6/03/2015,At the company's request.
ORBIS GOLD LIMITED,OBS,16/03/2015,Following compulsory acquisition of the Company¿s securities by SEMAFO Inc.
REPUBLIC OF AUSTRIA,ROA,17/03/2015,Following maturity of all remaining notes of the Issuer.
GOODMAN FIELDER LIMITED.,GFF,19/03/2015,following implementation of the scheme of arrangement by which Wilmar International Limited and First Pacific Company Limited acquired all of the shares of the Company.
ILLAWARRA SERIES 2005-1 RMBS TRUST,ILW,16/04/2015,Following redemption of all remaining notes of the Trust.
CHANDLER MACLEOD GROUP LIMITED,CMG,17/04/2015,Following implementation of the scheme of arrangement whereby RGF Staffing Melbourne two Pty Limited.
FORTE ENERGY NL,FTE,17/04/2015,At the company¿s request.
CVC PROPERTY FUND,CJT,23/04/2015,Following implementation of the trust scheme of arrangement whereby 360 Capital Total Return Passive Fund acquired all of the Fund¿s ordinary units.
FIFTH ELEMENT RESOURCES LIMITED,FTH,24/04/2015,At the company's request.
SIGNATURE METALS LIMITED,SBL,1/05/2015,Subsequent to approval by the Company's shareholders at a General Meeting on 31 March 2015.
BALAMARA RESOURCES LIMITED,BMB,6/05/2015,At the request of the Company
RESOURCE EQUIPMENT LTD,RQL,15/05/2015,At the request of the Company.
