"AAC","20110325","1.62","1.645","1.62","1.635","814476"
"AAD","20110325","1.44","1.50","1.42","1.47","2168957"
"AAE","20110325","0.017","0.017","0.016","0.016","3209318"
"AAG","20110325","0.275","0.28","0.275","0.28","265000"
"AAK","20110325","0.003","0.003","0.003","0.003","200000"
"AAM","20110325","0.044","0.045","0.044","0.045","286239"
"AAO","20110325","0.175","0.175","0.175","0.175","50000"
"AAQ","20110325","0.014","0.014","0.014","0.014","997720"
"AAR","20110325","0.021","0.021","0.02","0.021","256920"
"AAU","20110325","0.24","0.25","0.24","0.25","11950"
"AAX","20110325","3.39","3.49","3.39","3.43","129355"
"ABC","20110325","3.19","3.20","3.11","3.15","3483487"
"ABN","20110325","0.001","0.001","0.001","0.001","500000"
"ABP","20110325","2.30","2.33","2.25","2.33","511922"
"ABU","20110325","0.039","0.039","0.037","0.037","9157324"
"ABY","20110325","1.40","1.43","1.39","1.40","771571"
"ABZ","20110325","0.75","0.76","0.73","0.76","27000"
"ACB","20110325","0.425","0.425","0.415","0.42","552819"
"ACG","20110325","0.092","0.092","0.092","0.092","30000"
"ACL","20110325","0.71","0.72","0.685","0.685","115104"
"ACR","20110325","3.65","3.70","3.58","3.65","995291"
"ACS","20110325","0.24","0.24","0.23","0.23","54550"
"ADD","20110325","0.032","0.034","0.032","0.034","2627555"
"ADE","20110325","0.15","0.16","0.145","0.155","1702440"
"ADN","20110325","0.17","0.17","0.17","0.17","155365"
"ADO","20110325","0.075","0.078","0.074","0.075","1910876"
"ADU","20110325","0.745","0.785","0.74","0.77","1326274"
"ADX","20110325","0.10","0.105","0.10","0.105","561282"
"ADY","20110325","0.034","0.034","0.034","0.034","2193310"
"AED","20110325","0.25","0.255","0.25","0.255","847390"
"AEE","20110325","0.345","0.345","0.32","0.33","329659"
"AEK","20110325","0.20","0.20","0.20","0.20","3675"
"AEO","20110325","2.08","2.09","2.07","2.07","327653"
"AEU","20110325","0.78","0.815","0.78","0.815","81579"
"AEX","20110325","0.006","0.006","0.005","0.005","56954100"
"AEZ","20110325","0.013","0.013","0.012","0.012","504000"
"AFI","20110325","4.79","4.82","4.75","4.79","194941"
"AFR","20110325","0.715","0.74","0.71","0.725","1954508"
"AFT","20110325","0.001","0.001","0.001","0.001","8279580"
"AGE","20110325","0.135","0.135","0.13","0.13","103000"
"AGF","20110325","0.79","0.80","0.79","0.80","220759"
"AGG","20110325","9.01","9.01","9.01","9.01","1215"
"AGI","20110325","0.255","0.26","0.255","0.255","210143"
"AGK","20110325","14.01","14.22","14.00","14.11","1598567"
"AGO","20110325","3.55","3.62","3.50","3.52","10281825"
"AGR","20110325","1.16","1.175","1.12","1.12","140092"
"AGS","20110325","0.34","0.34","0.34","0.34","119952"
"AGU","20110325","0.075","0.08","0.074","0.078","989400"
"AGX","20110325","0.022","0.022","0.022","0.022","50000"
"AGY","20110325","0.21","0.215","0.21","0.215","245115"
"AHD","20110325","6.00","6.00","5.95","5.95","6047"
"AHE","20110325","2.75","2.75","2.71","2.71","32382"
"AHN","20110325","0.125","0.125","0.12","0.12","211784"
"AHR","20110325","0.27","0.275","0.27","0.27","83000"
