"AAC","20020419","0.87","0.88","0.86","0.86","183900"
"AAT","20020419","0.255","0.255","0.25","0.255","176288"
"AAU","20020419","0.84","0.85","0.84","0.85","11000"
"ABC","20020419","0.85","0.85","0.84","0.84","320312"
"ABG","20020419","2.12","2.12","2.12","2.12","1600"
"ABI","20020419","1.58","1.59","1.56","1.59","113014"
"ABIO","20020419","0.41","0.43","0.41","0.43","240"
"ABKO","20020419","0.043","0.048","0.043","0.048","300000"
"ABS","20020419","13.80","13.80","13.65","13.65","22000"
"ACDHA","20020419","103.00","103.00","103.00","103.00","100"
"ACE","20020419","0.08","0.08","0.08","0.08","5000"
"ACU","20020419","0.205","0.215","0.205","0.215","189160"
"ACV","20020419","0.06","0.06","0.06","0.06","120000"
"ADA","20020419","1.10","1.10","1.10","1.10","1000"
"ADB","20020419","7.41","7.41","7.33","7.34","19158"
"ADG","20020419","2.25","2.25","2.23","2.23","5000"
"ADM","20020419","0.05","0.05","0.05","0.05","151400"
"ADN","20020419","0.13","0.15","0.13","0.135","356810"
"ADP","20020419","2.48","2.50","2.48","2.50","1524699"
"ADR","20020419","0.06","0.063","0.06","0.063","460769"
"ADT","20020419","1.30","1.30","1.30","1.30","2650"
"ADU","20020419","0.18","0.19","0.18","0.19","150000"
"ADUO","20020419","0.05","0.055","0.05","0.055","194550"
"ADX","20020419","0.375","0.39","0.375","0.385","118614"
"ADXOA","20020419","0.155","0.165","0.155","0.165","36000"
"ADZ","20020419","2.31","2.32","2.29","2.30","568250"
"AEC","20020419","0.83","0.83","0.82","0.82","51000"
"AEH","20020419","0.063","0.063","0.063","0.063","65500"
"AEN","20020419","0.25","0.25","0.22","0.22","5000"
"AEO","20020419","1.90","1.92","1.90","1.90","54510"
"AET","20020419","1.23","1.23","1.23","1.23","700"
"AEX","20020419","0.14","0.145","0.135","0.14","540507"
"AEXO","20020419","0.038","0.041","0.037","0.041","435000"
"AFF","20020419","0.27","0.27","0.26","0.26","145024"
"AFFO","20020419","0.013","0.013","0.013","0.013","6017"
"AFI","20020419","3.21","3.23","3.21","3.23","407165"
"AFL","20020419","0.24","0.24","0.235","0.235","23800"
"AGA","20020419","0.005","0.005","0.005","0.005","1264000"
"AGG","20020419","9.00","9.25","9.00","9.25","28765"
"AGH","20020419","0.78","0.78","0.78","0.78","589962"
"AGI","20020419","1.26","1.27","1.25","1.26","186980"
"AGL","20020419","9.45","9.49","9.42","9.44","494207"
"AGLIMD","20020419","0.77","0.78","0.73","0.77","142650"
"AGLIPE","20020419","0.57","0.58","0.57","0.58","14000"
"AGLISK","20020419","1.76","1.76","1.76","1.76","1000"
"AGLIZD","20020419","1.88","1.88","1.88","1.88","7000"
"AGLWGE","20020419","0.165","0.165","0.165","0.165","10000"
"AGLWSD","20020419","0.105","0.11","0.105","0.11","58000"
"AGM","20020419","0.055","0.055","0.055","0.055","50000"
"AGMO","20020419","0.01","0.01","0.01","0.01","10000"
"AGS","20020419","0.052","0.059","0.052","0.059","310833"
"AGX","20020419","0.445","0.445","0.44","0.445","53000"
"AGY","20020419","0.44","0.44","0.42","0.42","32500"
"AGZ","20020419","0.01","0.01","0.01","0.01","22711581"
"AGZO","20020419","0.001","0.001","0.001","0.001","6190000"
"AHA","20020419","9.50","9.50","9.50","9.50","87"
"AHD","20020419","2.62","2.65","2.61","2.65","39625"
"AHT","20020419","0.50","0.50","0.50","0.50","8500"
"AIA","20020419","3.65","3.65","3.65","3.65","495970"
"AIE","20020419","0.135","0.14","0.135","0.14","478795"
"AIG","20020419","0.08","0.08","0.08","0.08","4000"
"AIL","20020419","0.11","0.11","0.11","0.11","15900"
"AIP","20020419","1.08","1.08","1.07","1.08","314406"
"AIS","20020419","0.11","0.11","0.11","0.11","25000"
"AIX","20020419","1.54","1.55","1.52","1.55","113197"
"AIZ","20020419","0.30","0.30","0.295","0.295","153627"
"AJL","20020419","0.86","0.87","0.86","0.87","30540"
"ALK","20020419","0.34","0.35","0.34","0.34","273308"
"ALL","20020419","5.95","5.95","5.90","5.93","587939"
"ALN","20020419","4.04","4.08","4.02","4.05","65400"
"ALS","20020419","3.50","3.50","3.50","3.50","2000"
"ALU","20020419","1.24","1.33","1.24","1.33","293580"
"ALZ","20020419","1.52","1.54","1.52","1.52","1223572"
"ALZPA","20020419","109.00","109.00","108.00","108.00","951"
"AMC","20020419","7.50","7.62","7.48","7.61","1747291"
"AMCIMF","20020419","3.28","3.28","3.28","3.28","5000"
"AMCISA","20020419","4.70","4.70","4.70","4.70","1000"
"AMCWPB","20020419","0.115","0.125","0.115","0.12","56450"
"AMG","20020419","0.11","0.11","0.11","0.11","10000"
"AMH","20020419","1.76","1.79","1.76","1.79","82111"
"AML","20020419","0.74","0.76","0.73","0.75","133538"
"AMM","20020419","0.084","0.086","0.082","0.086","357771"
"AMMOA","20020419","0.015","0.015","0.015","0.015","4000"
"AMP","20020419","18.90","19.04","18.90","19.03","1682400"
"AMPEMG","20020419","9.65","9.65","9.65","9.65","1328"
"AMPIMC","20020419","7.57","7.57","7.57","7.57","7190"
"AMPIMD","20020419","2.14","2.16","2.14","2.16","8500"
"AMPIPD","20020419","4.14","4.14","4.14","4.14","8000"
"AMPIYA","20020419","8.90","8.90","8.90","8.90","249"
"AMPWAE","20020419","0.19","0.19","0.185","0.19","67500"
"AMPWCT","20020419","0.20","0.20","0.20","0.20","20000"
"AMPWGF","20020419","1.07","1.09","1.07","1.09","20000"
"AMPWGH","20020419","0.001","0.001","0.001","0.001","50000"
"AMPWMU","20020419","0.105","0.105","0.105","0.105","10000"
"AMPWOI","20020419","0.11","0.11","0.11","0.11","23200"
"AMPWOS","20020419","0.03","0.03","0.03","0.03","70000"
"AMPWPM","20020419","0.105","0.105","0.105","0.105","140700"
"AMPWPX","20020419","0.088","0.088","0.088","0.088","10000"
"AMQHA","20020419","94.15","94.35","94.10","94.35","4491"
"AMREME","20020419","2.95","2.95","2.95","2.95","269"
"AMS","20020419","0.11","0.11","0.105","0.105","30885"
"AMU","20020419","0.115","0.115","0.105","0.115","134700"
"AMZG","20020419","105.85","106.25","105.85","106.10","25029"
"ANC","20020419","5.95","5.95","5.95","5.95","5595"
"ANE","20020419","2.12","2.14","2.12","2.13","56000"
"ANK","20020419","0.043","0.043","0.043","0.043","3000"
"ANKO","20020419","0.001","0.001","0.001","0.001","2400"
"ANL","20020419","0.395","0.395","0.38","0.385","184811"
"ANM","20020419","0.51","0.52","0.50","0.51","170546"
"ANMCA","20020419","0.405","0.41","0.40","0.405","564450"
"ANMO","20020419","0.14","0.14","0.14","0.14","59811"
"ANP","20020419","0.15","0.185","0.15","0.185","754805"
"ANPO","20020419","0.088","0.10","0.088","0.10","26100"
"ANTG","20020419","28.00","28.00","26.00","26.00","390"
"ANX","20020419","0.28","0.28","0.25","0.27","202000"
