14D,20230526,.052,.055,.052,.053,182400
1AE,20230526,.076,.076,.076,.076,34160
1CG,20230526,.011,.011,.011,.011,5576
1MC,20230526,.008,.008,.008,.008,2883713
1ST,20230526,.007,.007,.007,.007,2002
1TT,20230526,.028,.029,.027,.029,393550
29M,20230526,.655,.72,.65,.675,9247690
360,20230526,6.5,6.7,6.3,6.47,1237651
360KOA,20230526,1.305,1.35,1.305,1.35,740
3DA,20230526,.125,.125,.12,.12,83187
3DP,20230526,.1,.1,.1,.1,18000
4DS,20230526,.028,.03,.028,.029,475736
4DX,20230526,.855,.91,.85,.85,792985
5EA,20230526,.415,.45,.415,.435,592582
5GG,20230526,.072,.073,.072,.072,168233
88E,20230526,.008,.008,.008,.008,2918379
8CO,20230526,.084,.084,.082,.082,30340
8VI,20230526,.4,.4,.4,.4,1210
92E,20230526,.42,.435,.42,.435,48791
A11,20230526,.62,.635,.615,.62,325548
A1G,20230526,.06,.06,.06,.06,245270
A1M,20230526,.39,.395,.388,.39,410626
A1N,20230526,1.05,1.05,1.02,1.03,139319
A200,20230526,118.98,119.5,118.98,119.5,51429
A2B,20230526,1.465,1.465,1.45,1.46,4877
A2M,20230526,5.37,5.41,5.3,5.33,3841503
A3D,20230526,.021,.021,.021,.021,10888
A4N,20230526,1.03,1.045,1.01,1.04,1100492
A8G,20230526,.135,.135,.135,.135,6015
AAA,20230526,50.22,50.22,50.21,50.22,249447
AAC,20230526,1.575,1.6,1.555,1.57,203044
AAJ,20230526,.065,.074,.062,.072,1728691
AAP,20230526,.012,.012,.011,.011,85000
AAR,20230526,.073,.073,.072,.072,126220
AASF,20230526,3.44,3.45,3.44,3.45,11303
AAU,20230526,.036,.037,.034,.036,996685
ABA,20230526,5.23,5.5,5.23,5.33,146711
ABB,20230526,2.86,2.93,2.86,2.88,720679
ABC,20230526,1.97,2.065,1.925,2.06,3685964
ABE,20230526,.18,.18,.18,.18,13447
ABP,20230526,2.57,2.59,2.56,2.58,456335
ABV,20230526,.038,.038,.038,.038,9500
ABX,20230526,.105,.105,.1,.105,69790
